model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
MAXI 68,,,SL,,,,,,,Spreader length; 600.,7300,,2670,,7500,,2500,,8565,,,,FR,DK,,1,,12 AFT,,122,,,,,,,,,5,,,5,4,,,,,,5,,,,,,,,,,MAX1
MAXI  MIXER,,,SL,,,,,,,Incl SMAB prod data.  Mast details possibly suspect.,11348,,3798,,12999,,4398,,,,,,FR,KL,,1,,,,E170,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,MAX1
McARTHUR 40,,,SL,12192,,3505,,10000?,,,15240,,5300,,14000 ?,,4600,,15240,,,,MH,DK,,2,,,,"E206,  R23",,150,,,,2,,,,,,,,,,,,,,,,,,,,,,,McARTHUR
McARTHUR 49,,,CT,14935,,3962,,,,,18288,,,,16764,,4877,,18288,,,,MH,DK,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McARTHUR
MEDWAY 26,,,SL,7900,,3050,,1350,,,7700,,2600,,8900,,3300,,9300,,?,,MH,KL,,2,,,,"D109 , E12",,86,,,,1,5,,5,,,5,3,,4,,5,,5,,-,4,,CHECKSTAYS,,,,,MEDWAY
MELODY 35,,Jenneau,SL,10750,,3355,1905,5890,,Formative design for Jenneau,14500,,4580,,12800,,3640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MELODY
MERIDIAN 42 KT,,,KT,12801,,,,,,,,,5790,,,,,,13118   83,,,,MH   MH,DK   DK,,2 1,,12A 25A,,8760,,128,,80,,1,10,,2 x 10  7,,,9    4 x 4,,,8 4,,9,,9 4,,8    -,8    -,,,7,,,,MERIDIAN
MERIDIAN 42 SL,,,SL,12801,,,,,,,14330,,4900,,11710,,4110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERIDIAN
MERIDIAN 9.5 KT,,,KT,,,,,,,,9460,,3130,,8920   632,,3150   205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERIDIAN
MERIDIAN 9.5 SL,,,SL,,,,,,,,,,,,,,,,10088,,,,MH,DK,,1,,26.50F,,E170,,3535,,,,1,7,,7,,,7,2 x 6,,,,6,,6,,,,,,,,,,MERIDIAN
MERLAN 41,,,SL,12501,,,,,,,,,,,,,,,,,,,,,,,,,,E237,,162,,99,,,,,,,,,,,,,,,,,,,,,,,,,MERLAN
MG 1964,,,SL,7700,,3000,,1500,,,10134,,3353,,8534,,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG
MG 26,,,SL,7700,,3000,,1500,,,8380,,2580,,9450,,3700,,,,,,FR,DK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG
MG 30 #1,,MG > Somerset Plasti,SL,9144,6405,2652,1435,3883,1435,Spreader length; 1000.,10058,,3429,,8534,,3200,,9754,,,,MH,DK,,1,,,,E155,,111,,72,,1,,,6,,,6,6,,,,6,,6,,,,,,,,,,MG
MG 30 #2,,,SL,9144,6405,2652,1435,3883,1435,,9753,,3658,,8687,,3658,,11465,,-,,MH,DK,,1,,-,,E155,,,,,,,7,,7,,,7,7,,,,,,7,,,,,,,,,,MG
MG 30 #3,,,SL,9141,,,,,,,10058,,3658,,8839,,2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MG
MG 335,,,SL,10950,8440,3430,1900/1220,4035,,Top spreader; 750. Bottom spreader length; 1050,11887,,3581,,12496,,4572,,13985,,-,,FR,DK,,2,,24 AFT,,E170,,150,,72,-,2,7,,7,,,8,5,,6,,,,8,,6,6,,,,,,,MG
MG 34,,,SL,10361,,,,,,Top spreader length; 630. Bottom spreader length; 850,11643,,3490,,12832,,4724,,14086,,,,FR,KL,,2,,,,138,,150,,72,,,,,,,,,,,,,,,,,,,,,,,,,MG
MG 38,,,SL,11530,8630,3650,1980,5391,,Top spreader length; 700. Bottom spreader length; 1000.,13750,,4040,,13990,,5000,,15538,,,,FR,KL,,2,,10 AFT,,177,,162,,84,,,,,8,,,8,8    R7,,6,,,,8,,,,,,,,,,MG
MGCS 40,,,SL,11963,9754,3860,,7555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGCS
MGCS 36,,,SL,11049,8890,3505,,5778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGCS
PROUT ESCALE 39,,,SL,11900,10660,5600,950,,,Structural rig for Northspar.  Had special short drive.,,,,,,,,,,,,,,,,,,,,R232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROUT
PROUT EVENT 34,,,CT,10363,9000,4750,800,4100,,,12496,,5334,,10363,,2896,,11582,,,,MH,DK,,1,,,,E189,,128,,,,1,8,,8,,,8,2 x 8,,,,,,8,,8,,,,,,,,PROUT
PUMA 26,,,SL,10210,,3566,,,,,10210,,3566,,8687,,2682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA
PUMA 34,,,SL,10361,,,,,,,13600,,4346,,11957,,3115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA
PUMA 37,,,SL,11780,,3810,,6780,,,13410,,4440,,11500,,3880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA
PUMA 38,,,SL,11591,,,,,,,14999,,4800,,13073,,3499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA
PUMA 385,,,SL,11591,,,,,,,14700,,4800,,13450,,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA
PUMA 39,,,SL,11900,,3800,,7000,,,15800,,4880,,14080,,4160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUMA
PUMA 435 C,,,SL,13130,,4000,,9000,,,15300,,5000,,13900,,4400,,,,,,MH,KL,,2,,,,E206,,162,,99,,2,10 x 17.9,,10,,,,,,,,,,,,,,,,,,,,PUMA
PUMA 435 CR,,,SL RACER,13130,,4000,,8500,,,16800,,5000,,15480,,4400,,,,,,MH,KL,,2,,,,E224,,162,,99,,,,,,,,,,,,,,,,,,,,,,,,,PUMA
PUPPETEER 330,,,SL,9190,,3100,,2857,,,9754,,3048,,11125,,4114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUPPETEER
QUADRILLE 28,,,SL,8531,,,,,,,10300,,3600,,9200,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUADRILLE
QUARTET,,,SL,,,,,,,,8915,,2795,,2234,,7315,,8407,,,,MH,DK,,1,,,,5036,,3425,,60,,,,,4,,,4,4,,,,4,,4,,,,,,,,,,QUARTET
QUARTO,,,SL,,,,,,,,,,2972,,8304,,,,9245,,,,FR,DK,,1,,16 AFT,,D109,,3024,,60,,,,,,,,,,,,,,,,,,,,,,,,,QUARTO
QUARTO 'SORBU1',,,SL,,,,,,,,8230,,2860,,8310,,2400,,,,,,MH,DK,,2,,YES,,B& R 182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUARTO
QUARTO 1/4 TON,,,SL,,,,,,,,8321,,2804,,8305,,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUARTO
QUARTO TALL RIG,,,SL,,,,,,,,8077,,2667,,8839,,2895,,9880,,,,FR,DK,,1,,15 AFT,,E109T,,,,54,,,,,5,,,5,,,,,,,5,,,4,,,,,,,QUARTO
QUEEN BEE M/S,,,SL,,,,,,,,,,,,,,,,10668,,,,MH,DK,,1,,,,5842,,3535,,,,,8,,8,,,8,8,,,,8,,8,,,,,,,,,,QUEEN
QUEEN CLASS,,,SL,,,,,,,,13106,,4140,,10897,,5105,,12801,,2271,,MH,KL,,1,,,,7752,,4545,,84,,,7,,7,,,7,8,,,,6,,6,,,,,,,,,,QUEEN
QUEEN LONG 42,,,SL,12801,,,,,,,16916,,5133,,14935,,4465,,16395,,2120,,MH,KL,,2,,,,E224,,150,,96,,2,10 x 17.9,,10,,,10,10,,8,,,,10,,7,,,,,,,,QUEEN
QUEEN LONG 44,,,SL,13462,,4102,,9912,,,16764,,5410,,14467,,4877,,16267,,2350,,MH,KL,,2,,,,E237,,162,,96,-,2,10,,10,,,10,10,,8,,CAPS LOWER,,10,,8,8,,8,,,,,QUEEN
QUEEN LONG 47,S & S,QUEEN LONG,CT,14300,,4369,,13875,,,18288,,5791,,16307,,5486,,17977,,2300,,MH,KL,,2,,,,E274,,189,,111,,2 / 074-04,12,,12,,,12,12,,10,,10,,10,,10,9,,,,,,,QUEEN
QUEENSLANDER 33,,,SL,10130,,3350,,8500,,,,,,,,,3900,,12190,,,,MH,DK,,1,,-,,E189,,143,,,72/60,1,8,,8,,,8,8,,,,8,,8,,,,,,,,,,QUEENSLANDER
ROBERTS 29,,,SL,8841,,,,,,,,,,,,,3688,,10670,,,,MH,DK,,1,,,,E170,,111,,,,1,6 x 13,,6,,,6,6,,,,6,,6,,,,,,,,,,ROBERTS
ROBERTS 310S,,,SL,9449,,,,4300,,,11582,,3861,,10109,,3048,,,,,,MH,DK,,1,,,,E177,,1114,,,,1,7 x 13,,7,,,,,,,,,,,,,,,,,,,,ROBERTS
MIDSHIPMAN 40,,,SL,12191,,,,,,,,,4445,,,,,,1347,,,,MH,DK,,1,,,,8760,,4545  3535,,99,,2,10,,10,,,4 x 10,10,,,,10,,10,,,,,,,,,,MIDSHIPMAN
MIGRANT 45,,,KT  BLACKJ,13700,,3910,,12190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGRANT
MIRAGE 24,,,SL,,,,,,,,8534,,2743,,7040,,2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIRAGE
MIRAGE 26,,Thames Marine,SL,7925,6190,2743,1370F/1065T,5778,1000,,9220,,3353,,8380,,3050,,9220,,-,,MH,DK,,1,,,,E130,,85,,60,72/60,1,5,048-048-55,5,,,5,5,,,,,,5,,4,,,,,,,,MIRAGE
MIRAGE 27 KT,,,KT,8230,,2870,1520,2660,,,11277,,3886,,10591  777,,3886    24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIRAGE
MIRAGE 27 00,,THAMES MARINE,SL,8230,6360,2830,1440/1060,2700,1296,,10287,,3581,,9220,,3124,,,,,,MH,DK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIRAGE
MIRAGE 28 Mk1,,THAMES MARINE,SL,8626,6710,2820,1400F/1100T,3080,1222,,10540,,3144,,9450,,3280,,10350,,,,MH,DK,,1,,,,E155,,85,,60,60/58,1,6 x 10.6,,6,,,6,6,,,,,,6,,5,,,,,,,,MIRAGE
MIRAGE 29,,,SL,8780,,3200,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIRAGE
MISCHIEF 24,,,SL,,,,,,,,6860,,2440,,7550,,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISCHIEF
MISTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISTRI
MOODY 29,,,SL,9040,7620,3200,1370,3311,1248,1980 to 1983. SL; 1000,10610,,3560,,9300,,3277,,10620,,,,MH,DK,,1,,,,E170,,111,,,,10,206-13,,6,,,6,6,,,,,,6,,,,,6,,,,,MOODY
MOODY 40,,,SL,12040,9880,4040,1670,9480,3149,Older range 1978 to 1981,,,,,,,4445,,13400,,-,,MH,DK,,1,,-,,E237,,150,,,,,8,,8,,,8,8,,,,,,8,,8,,,,,,,,MOODY
MOODY 41,,,SL,12500,10350,4010,1830,9344,3946,1981to 1984.,15240,,5230,,13335,,4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 419,,,SL,12700,10350,4010,1830,9344,3946,1984 to 1986. Tsl; 1000. Bsl; 1300,15240,,5029,,13335,,4572,,15094,,,,MH,DK,,2,,,,E224,,162,,96,84/60 GEN.,2,10 x 17.9,,10,,,10,10,,9,,,,10,,8,6,,,,,,,MOODY
MOODY 42_KT,,A. H. MOODY & SON LT,KT,12738,10592,4063,1676,10750,,"DAYTONS SHOW AFT LOWER AND BABYSTAY RIGGING CONFIGURATION.  SEE ALSO SLOOP VERSION. MIZZEN HAS F&A LOWERS, AFT ANG CAPS & PRODDER",13868,,5273,,12192   82,,4419    25,,,,,,MH,DK,,SINGLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 42 SL,,A.H. MOODY & SON LTD,SL,112738,10592,4063,1676,10750,,,13720,,4880,,12200,,4420,,,,,,MH,,,1 set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 422,,,SL,12800,10440,4070,1830,9524,3811,1986 to 1988. TSL; 1000. BSL; 1300,15773,,5030,,13950,,4724,,15570,,,,MH,DK,,2,,,,E224,,162,,G84,84/60,2,10 x 17.9,,10,,,10,10,,9,,10,,10,,,,,,,,,,MOODY
MOODY 425,,Marine Projects,SL,12700,10440,4070,1830,9900,3811,Followed on from 41>419>422. Furlin' was the standard option. 1988 to 1991. TSL; 1000. BSL; 1300.,15773,,5029,,13676,,4724,,15570,,-,,MH,DK,,2,,,,R232,,162,,,,2  076-046,10,,10,,,10,10,,9,,10,,10,,,,,,,,,,MOODY
MOODY 44 KT,,A H Moody,KT,13101,,,,,,Earlier Class.  not to be confused with later Moody 44,,,5029,,12878   73,,,,14630   85,,,,MH   MH,DK   DK,,1 1,,,,10070,,4545,,111,,,,,7,,,7,2 x 6,,,,7,,7,,,,,,,,,,MOODY
MOODY 44,,,SL,13101,10970,4170,2010,10717,4000,"Produced 1991 to 1996. If supplied without spin gear: 508-032-01 ""U"" bolt port, 505-014-01 hal inlet 30 port @ 14857, 505-006-01 t/l inlet @ 9600, 515-567-06 @ 700, 538-121-01 heel lift blocks @3150&450, 511-069-01 cleats 44 port ""A"" @ 730&930, 505-014-01 hal exit 85 fwd ""B"" @ 2550, 505-014-01 t/l exit 100 fwd ""B"" @ 1750. TSL; 1100. BSL; 1500.",16459,,5081,,,,4776,,16243,,,,MH,DK,,2,,19A,,"E224, R232",,171,,,,2,10,,10,,,10,10 + 2 x 9,,9,,10,,10,,,,,,,,,,MOODY
MOODY 44#1,,,SL,13120,10970,4170,,10432,,,14940,,5230,,12940,,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 47,,,SL,14321,,,,,,tsl; 1050. Bsl; 1350.,17069,,5486,,14900 MAX,,5182,,16766,,2445,,MH,KL,,2,,,,F290,,206,,99,GENOA 84/8,2,12,,12,,,12,12,,10,,12,,12,,8,,,,,,,,MOODY
MOODY 471,,,CT/SL,14170,11810,4470,2050,12477,5000,,17069,,5486,,15240,,5182,,16916,,,,MH,DK,,2,,,,E274,,206,,99,,2,12 x 20.4,,12,,,12,12,,10,,12,,12,,8,,,,,,,,MOODY
MOODY 471 KS,,,CT/SL,14170,,4470,,12477,,TSL; 1050. BSL; 1350,17069,,5486 GP 49,,MAX 14900,,5182,,16916,,2404,,MH,KL,,2,,TOP 5D,,E237,,206,,,,,12,,12,,,12,12,,10,,12,,12,,8,,,,,,,,MOODY
MOODY 52 SL,,,SL,15850,,,,19 000,,,16916,,5791,,15545,,5182,,17000,,,,MH,KL,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 52 KT,,,KT,15850,,,,,,,17678,,5791,,15088   96,,4953   358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 58 CUSTOM,,,SL,17530,14660,4950,2130,26679,9071,1986 to 1991,21336,,7086,,19355,,5943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 58 STAND.,,,SL,17530,,4950,,22675,,,21336,,6934,,19202,,6172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY 60,,,KT,,,,,,,,21945,,7163,,19964    1,,6248   365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY CARBINEER 46,,,,14170,13410,3720,1830,16510,5740,1969 to 1979,15544,,4724,,13106   86,,5029    34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY CULVENEER,,,CT,15110,,4470,,,,,,,,,,,,,,,,,MH,DK,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,MOODY
MOODY GRENADIER,,,119 KT,,,,,,,Spreader length; 1400,15850,,5334,,14020    8,,4572    27,,15240,,,,MH,DK,,1,,,,237,,150,,96,,,,,10,,,10,10,,,,10,,10,,10,,,,,,,,MOODY
MOONFLEET 36,,,SL,10900,,3680,,8390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOONFLEET
MOORE43 BOW,,,CT,,,,,,,,15011,,6431,,14478,,5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOORE
MOREBAS MS,,,SL,10500,9800,,,,,,13000,,4900,,11700,,4250,,13000,,-,,MH,DK,,2,,,,R213,,128,,,,1,7,,7,,,7,7,,6,,7,,7,,,,,,,,,,MOREBAS
MORGAN 27,,,SL,8231,,,,,,,,,3581,,9448,,,,10477,,1663,,MH,KL,,1,,,,6746,,4027,,72,,1,6,,6,,,6,6,,,,6,,6,,,,,,,,,,MORGAN
MORGAN 36,,,SL,10971,,,,,,,,,4572,,,,3810,,14402,,1898,,,,,,,,,8760,,4545,,99,,72,10,,10,,,9,10,,,,,,10,,9,,,,,,,,MORGAN
MORGAN 36 1TON,,,SL,10971,,,,,,,,,4572,,12954,,3810,,14402,,1867,,MH,KL,,1,,,,E224,,128,,,,1,10,,10,,,9,10,,,,,,10,,10,,,,,,,,MORGAN
MORGAN GILES 43,,,SL,13101,,,,,,,,,,,,,,,13030,,,,MH,DK,,1,,,,E224,,155,,,,2,10,,10,,,10,10,,,,10,,10,,,,,,,,,,MORGAN
MORGAN HERITAGE,,,ONE DESIGN,11277,,3607,,6500,,,15519,,4774,,13790,,4470,,15519,,1867,,MH,KL,,2,,,,E206,,162,,96,,2,10,072-072-58,9,,,9,9,,7,,,,9,,8 ADJUSTAB,5,,,,,,,MORGAN
MORRIS 36,,,SL,10971,,,,,,,,,,,,,,,,,,,,,,,,,,E206,,150,,96,,,,,,,,,,,,,,,,,,,,,,,,,MORRIS
MOTIVA 33,,,SL,10061,,,,,,,12499,,3599,,11198,,3599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOTIVA
MIURA,,,SL,9139,,2850,1640,4800 (max),,Calc's 13.1.98  Structural mast for Atlantic Spars.,11600,,3880,,10000,,3120,,11350,,-,,MH,DK,,1,,-,,E177,,120,,72,,,,,7,,,7,7,,,,7,,7,,,,,,,,,,MIURA
MULL 10.8m,,,SL,,,,,,,,,,,,,,,,12100,,,,FR,DK,,2,,,,E155T,,128,,,,1,6,,6,,,6,5,,5,,,,6,,,6,,4,,,,,MULL
MURENA,,,SL,,,,,,,,11198,,3499,,9400,,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MURENA
MUSTANG 30,,,SL,9000,,2438,,1925,,"Confused reports of dimensions. Rig info opposite is confirmed, our calcs used for sections",9150 (7927,,2800,,10200,,3660,,11340,,,,FR,DK,,1,,,,E155,,120,,60,,,A6,,6,,,7,5,,,,,,7,,,,,,,,,,MUSTANG
MUSTANG 40,,,SL,12191,,,,,,,11350,,3850,,10000,,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSTANG
MUSTANGF,,,SL,,,,,,,,76200,,2316,,6706,,3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSTANG
MYER 33,,,SL,10061,,,,,,,12649,,4343,,11277,,3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYER
MYSTERE 26,,,SL,7825,,2595,1370,2250,,Fred Parker design.  Smallest yacht with wheel steering at the time!,8687,,3124,,7137,,2515,,8313,,,,MH,DK,,1,,,,5232,,3425,,,,,,,5,,,5,5,,,,5,,5,,,,,,,,,,MYSTERE
MYSTERE 26 TALL,,,SL,7921,,,,,,,9449 ?,,3733 ?,,8534 ?,,2438 ?,,9354,,,,MH,DK,,1,,,,E130,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,MYSTERE
NAB 32,,,AL,9751,,,,,,,,,,,,,,,11201,,,,MH,DK,,1,,,,6746,,3535,,,,,,,,,,,,,,,,,,,,,,,,,,,NAB
NAB 35,,,KT,10671,,,,,,,,,3658,,,,,,11539,,,,,,,,,,,7250,,4040,,72,,1,6,,6,,,6,6,,,,6,,6,,,,,,,,,,NAB
NAIDES,,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,8760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAIDES
Najad 34,,,SL,10361,,,,,,SMAB  prod data. Najad 340 has R235 section rig.,12800,,4170,,11250,,4000 (4500,,,,,,,,,,,,,R235,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,NAJAD
NAJAD 360,,,SL,10750,,3400,,7000,,,13500,,4200,,12100,,4350,,13200,,,,MH,DK,,2,,,,"E206, R235",,150,,,,2,8,,8,,,8,8,,7,,8,,8,,,,,,,,,,NAJAD
NAJAD 371,,,SL,11300,,3500,,9000,,,14500,,4400,,13000,,4600,,,,,,MH,DK,,1,,,,E189,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,NAJAD
NAJAD 380,,,Sl,11550,9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAJAD 390,,,SL,11750,,3500,,9500,,Top spreader length; 1000. Bottom spreader length; 1300.,15380,,4700,,13571,,5000,,15686,,,,MH,DK,,2,,T 5 AFT,,232,,150,,,,,,,9,,,8,9,,7,,,,9,,8,,,,,,,,NAJAD
Najad 420,,,SL,13000,10450,3820,1900,13000,4800,SMAB prod data,,,"SPL=4975, ",,,,5500 (Fln),,17600,,,,,,,,,,,"E237, R260",,"171, 200 (",,"99, G96",,,,,,,,,,,,,,,,,,,,,,,,,NAJAD
Najad 440,,,CT,13300,11500,3990,,14500,,Incl SMAB prod data,17800,,"SPL=5200, ",,16000,,5000,,,,,,MH,,,,,,,"E274, R290",,200,,"99, G96",,,,,,,,,,,,,,,,,,,,,,,,,NAJAD
NAJAD 51,,,CT,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAJAD
NANTUCKET CLIP.P,,,KT,9093,6402,2781,1295,3770,,,,,3850,,,,,,9540   625,,,,MH   MH,DK   DK,,1 1,,MIZ 22F,,5842,,3535    30,,60,,1,,,6    -,,,6    4 x 5,6    -,,,,5    -,,5 5,,5    -,5    -,,,5,,,,NANTUCKET CLIP.P
NARVIK 35,,,KT,10671,,,,,,,,,3612,,,,,,10727   84,,,,MH   MH,DK   DK,,1 1,,MIZ 30A,,E177,,111,,,,1,7,,7    -,,,7 5,2 x 7  2 x,,,,7    -,,7 5,,,,,,5,5,,,NARVIK
NARVIS 33,,,SL,10061,,,,,,,11290,,4000,,9380,,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NARVIS
NATANT,,,KT,,,,,,,,,,,,,,4902,,7932    40,,,,MH   MH,DK   DK,,1 1,,MIZ 5A,,5232,,85,,,,,,,5 3,,,5 3,5    -,,,,5    -,,5 3,,,,,,,,,,NATANT
NAUTICAT,,,SL,,,,,,,,,,,,,,,,10000,,,,MH,DK,,1,,,,D146,,,,,,1,6,,6,,,6,2 x 6,,,,6,,6,,,,,,,,,,NAUTICAT
NAUTICAT 44,,SILTALA,KT,13300,,3700,,14500,,Incl SMAB prod data,15500,,6250. 6200,,13850,9450,4150 (4090,,15496,11017,,,MH,DK,DK,2,1,-,26 aft,"E237, R232",E170,171,120,96,,,,,10,,2 x 5,8,2 x 8,6,7,,8,6,8,6,8,7,,,5,,,,NAUTICAT
NAUTICAT 33 MK2,,SILTALA,KT,9800,8600,3250,1550/1250,7700,2268,Incl SMAB prod data,,,SPL=4250,,8330,6250?,3430,2510,"11000, 122",7282,,,MH,DK,DK,1,1,,20 aft,"E170, E155","E130, R190",120,"85, 120",72,,,,,,,,,,,,,5,,5,,,,,,,,,,NAUTICAT
NAUTICAT 35,,SILTALA,SL,10650,9040,3450,1676,7484,2666,Incl SMAB prod data,,,SPL=4100,,,,"3950, 3730",,"13547, 129",,,,MH,DK,,2,,,,"E189, R235",,171,,84,,058-036-12,,,,,,,,,,,,,,,,,,,,,,,NAUTICAT
NAUTICAT 36,,SILTALA,KT,10800,,3300,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAUTICAT
NAUTICAT 38,,SILTALA,KT,11420,,3400,,11000,,Incl SMAB prod data.  Possible sloop rig D11-224-0217X,,,POLE 4000,,,,,2360,13550,,,,MH,DK,,1 & 2,,,,"E224, R232","E138, R190",143,"85, 120 (F",84,,,040-027-51,,,,,,,,,,,,,,,,,,,,,,NAUTICAT
NAUTICAT 40,,SILTALA,KT,12000,,4000,,14000,,Incl SMAB prod data,,,SPL=5600,,,,"4000, 3780",2200,,,,,,,,,,,,"E224, R260","E170, R213",171,120,96,,,,,,,,,,,,,,,,,,,,,,,,,NAUTICAT
NAUTICAT 43 KT,,SILTALA,KT,13000,,4200,,15000,,Incl SMAB prod data,,,5975=SPL,,16350,9000,"4250 , 403",2600,,,,,,,,,,,,R260,E177,162,120,96,,,,,,,,,,,,,,,,,,,,,,,,,NAUTICAT
NAUTICAT 43 CT,,SILTALA,CT,13101,,,,,,Incl SMAB prod data,,,,,,,4240,2600,,,,,MH,,,,,,,"E237, R260",R235,171,120,,,,,,,,,,,,,,,,,,,,,,,,,,NAUTICAT
NAUTICAT 52 & 521,,SILTALA,KT,15600,,4600,,24000,,Incl SMAB prod data,,,SPL=7000,,,,"5050, 4820",,,13516,,,,,,,,,,"E274, R290","E206, R232","200, 250",143,111,,,,,,,,,,,,,,,,,,,,,,,,,NAUTICAT
NAUTOR 39 SL,,,SL,11891,,,,,,,15544,,4572,,13182,,4648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAUTOR
