model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
ANKH 40,,,CT,12200,,4000,,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANKH
ANKH  43,,,KT,13200,,,,,,Very odd geometry on mizzen. Prototype was modified by Sthspar.,32305D 360,,5000,,14300,12000,4200,2600,15900,13700,-,,,,,,,,30 AFT,,E206,162,128/64,99,GENOA 84-5,,12,,12,,,12,2 x 10,8,10,,12,,12,8,8,,,,6,7,,,ANKH
APHRODITE 101,,,SL,9957,,2880,,2732,,,11000,,3600,,12000,,3500,,,,,,,,,,,,,,,128,,72,,,,,,,,,,,,,,,,,,,,,,,,,APHRODITE
APOLLO 12,,,SL,12100,,3620,,5800,,,14250,,4250,,12600,,4275,,13900,,,,,,,,,14AFT,,,,150,,84,,2,8B 15.4,,8,,,8,2 X 7,,7,,,,8,,6,,,,,,,,APOLLO
AQUARIUS 53,,,CT,16165,,3840,,,,,18900,,6250,,16690,,5790,,18900,,2212,,,,,,,,,,,206,,111,,2,050-034-51,,12,,,12,12,,10,,12,,12,,10,8,,,,,,,AQUARIUS
ARCADIA 28,,,SL,8531,,,,,,,11300,,3500,,9830,,3050,,,,,,,,,,,,,,,,,72,,,,,6,,,,,,,,,,,,,,,,,,,,ARCADIA
ARISTOCRAT,,,KT/CT,9141,,,,,,,,,3581,,9144,,3658,,10134,,,,MH,DK,,1,,,,6244,3425,4040,2722,60,,,,,6,,,6,2x5,,,,6,,6,,,,,,,,,,ARISTOCRAT
ARPEGE 1/2 TON,,,SL,8992,6700,3017,1350,3256,,,11420,,3630,,9500,,3100,,,,,,,,,,,,,,,,,,,,,,6,,,6,6,,,,6,,6,,,,,,,,,,Arpege
ARPEGE 30,,Dufour,SL,8992,6700,3017,1350,3256,1177,,11100,,3300,,9500,,3600,,10922,,,,MH,DK,,1,,15.5AFT,,E170,,120,,,,,,,6,,,6,6,,,,6,,6,,,,,,,,,,Arpege
ARROU 34,,,SL,10361,,,,,,,,,,,,,,,,,,,,,,,,,,E155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARROU
ATALIA 32,,,SL,9700,,3200,,3400,,,,,3750,,,,,,,,,,,,,,,,,,,,,72,72-61,,,,6,,,,,,,,,,,,,,,,,,,,ATALIA
ATH II,,,SL,11000,,3550,,8500,3000,,13700,,4400,,11800,,4000,,13201,,1.800??,,MH,DK,,2,,-,,E189,,150,,,,2,10,,9,,,9,9,,7,,9,,9,,,,,,,,,,ATH
ATLANTA 25,,,SL,7621,,,,,,,,,2654,,,,,,8160,,,,MH,DK,,1,,,,5232,,3024,,48,,1,,,4,,,4,4,,,,4,,4,,,,,,,,,,ATLANTA
ATLANTA 26,,,SL,7930,,2745,1070,2790,,Intro in 1964. Do not confuse with the Altlanta Rockall 26 which was the Macwester 26,9760,,3200,,8690,,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATLANTA
ATLANTA 30,,,SL,9141,,,,,,,10370,,3640,,9600,,3200,,10808,,,,MH,DK,,1,,,,E155,,3535,,,,1,,,6,,,7,6,,,,6,,6,,,,,,,,,,ATLANTA
